job_id,company,description,requirements,min_experience_years,min_cgpa,posted_at,title
J0001,ByteForge,"DevOps Engineer at ByteForge. Looking for engineers with experience in Docker, REST, CSS, Flask, Linux, GraphQL. Responsible for delivering high-quality software.",Docker;REST;CSS;Flask;Linux;GraphQL,0,8,10/7/2025,DevOps Engineer
J0002,OrbitSoft,"QA Engineer at OrbitSoft. Looking for engineers with experience in Pandas, TypeScript, GraphQL, TensorFlow, Azure, HTML. Responsible for delivering high-quality software.",Pandas;TypeScript;GraphQL;TensorFlow;Azure;HTML,3,8,9/20/2025,QA Engineer
J0003,ByteForge,"Product Engineer at ByteForge. Looking for engineers with experience in CSS, Django, Git, C++, Docker, SQL. Responsible for delivering high-quality software.",CSS;Django;Git;C++;Docker;SQL,0,7.5,9/26/2025,Product Engineer
J0004,NexGen Systems,"Frontend Developer at NexGen Systems. Looking for engineers with experience in Python, HTML, Linux. Responsible for delivering high-quality software.",Python;HTML;Linux,0,7,9/23/2025,Frontend Developer
J0005,GreenGrid,"Cloud Engineer at GreenGrid. Looking for engineers with experience in MATLAB, Kubernetes, Redux. Responsible for delivering high-quality software.",MATLAB;Kubernetes;Redux,1,7,10/28/2025,Cloud Engineer
J0006,ApexAI,"Mobile Developer at ApexAI. Looking for engineers with experience in PyTorch, Django, Git, Python, CSS. Responsible for delivering high-quality software.",PyTorch;Django;Git;Python;CSS,0,6.5,9/7/2025,Mobile Developer
J0007,GreenGrid,"Product Engineer at GreenGrid. Looking for engineers with experience in AWS, Django, React, MATLAB, TypeScript, Pandas. Responsible for delivering high-quality software.",AWS;Django;React;MATLAB;TypeScript;Pandas,1,7.5,10/1/2025,Product Engineer
J0008,SoftWave Solutions,"ML Engineer at SoftWave Solutions. Looking for engineers with experience in Pandas, Django, HTML, Redux, PyTorch, MATLAB. Responsible for delivering high-quality software.",Pandas;Django;HTML;Redux;PyTorch;MATLAB,3,7,9/23/2025,ML Engineer
J0009,TechVista,"SRE at TechVista. Looking for engineers with experience in Azure, Node.js, REST, C++, React. Responsible for delivering high-quality software.",Azure;Node.js;REST;C++;React,0,7,10/15/2025,SRE
J0010,BlueWave,"SRE at BlueWave. Looking for engineers with experience in Flask, MATLAB, PyTorch, Kubernetes, Node.js, Postgres. Responsible for delivering high-quality software.",Flask;MATLAB;PyTorch;Kubernetes;Node.js;Postgres,0,6.5,10/23/2025,SRE
J0011,Innotech Labs,"Embedded Engineer at Innotech Labs. Looking for engineers with experience in C, SQL, Flask, JavaScript. Responsible for delivering high-quality software.",C;SQL;Flask;JavaScript,3,7.5,7/28/2025,Embedded Engineer
